School Year,Division Number,Division Name,School Number,School Name,FT Count,PT Count,Total Count
2020-2021,1,Accomack County,701,Accawmacke Elementary,             458,,             458
2020-2021,1,Accomack County,540,Arcadia High,             687,,             687
2020-2021,1,Accomack County,704,Arcadia Middle ,             545,,             545
2020-2021,1,Accomack County,80,Chincoteague Elementary,             219,,             219
2020-2021,1,Accomack County,580,Chincoteague High,             277,,             277
2020-2021,1,Accomack County,600,Kegotank Elementary,             503,,             503
2020-2021,1,Accomack County,702,Metompkin Elementary,             540,,             540
2020-2021,1,Accomack County,70,Nandua High,             676,               1,             677
2020-2021,1,Accomack County,703,Nandua Middle,             485,,             485
2020-2021,1,Accomack County,590,Pungoteague Elementary,             425,,             425
2020-2021,1,Accomack County,530,Tangier Combined,              48,,              48
2020-2021,2,Albemarle County,160,Agnor-Hurt Elementary,             432,,             432
2020-2021,2,Albemarle County,880,Albemarle High,"           1,887",               6,"           1,893"
2020-2021,2,Albemarle County,1053,Baker-Butler Elem,             637,,             637
2020-2021,2,Albemarle County,100,Broadus Wood Elementary,             252,,             252
2020-2021,2,Albemarle County,941,Brownsville Elementary,             729,,             729
2020-2021,2,Albemarle County,340,Crozet Elementary,             328,,             328
2020-2021,2,Albemarle County,10,Hollymead Elementary,             349,,             349
2020-2021,2,Albemarle County,950,Jack Jouett Middle,             681,,             681
2020-2021,2,Albemarle County,69,Jackson P. Burley Middle,             607,               2,             609
2020-2021,2,Albemarle County,942,Joseph T. Henley Middle,             877,               7,             884
2020-2021,2,Albemarle County,20,Leslie H. Walton Middle,             345,               2,             347
2020-2021,2,Albemarle County,40,Mary Carr Greer Elementary,             469,,             469
2020-2021,2,Albemarle County,250,Meriwether Lewis Elementary,             323,,             323
2020-2021,2,Albemarle County,1052,Monticello High,"           1,186",              11,"           1,197"
2020-2021,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,             579,               5,             584
2020-2021,2,Albemarle County,150,Mountain View Elementary,             694,,             694
2020-2021,2,Albemarle County,890,Murray School,             162,,             162
2020-2021,2,Albemarle County,540,Red Hill Elementary,             169,,             169
2020-2021,2,Albemarle County,30,Scottsville Elementary,             222,,             222
2020-2021,2,Albemarle County,920,Stone Robinson Elementary,             450,,             450
2020-2021,2,Albemarle County,240,Stony Point Elementary,             173,,             173
2020-2021,2,Albemarle County,910,Virginia L. Murray Elementary,             235,,             235
2020-2021,2,Albemarle County,140,Western Albemarle High,"           1,144",,"           1,144"
2020-2021,2,Albemarle County,930,Woodbrook Elementary,             569,,             569
2020-2021,101,Alexandria City,120,Charles Barrett Elementary,             539,,             539
2020-2021,101,Alexandria City,160,Cora Kelly School for Math Science and Technology,             312,,             312
