School Year,Division Number,Division Name,School Number,School Name,Total Count
2019-2020,1,Accomack County ,701,Accawmacke Elementary,              55
2019-2020,1,Accomack County ,540,Arcadia High,              94
2019-2020,1,Accomack County ,704,Arcadia Middle ,              83
2019-2020,1,Accomack County ,80,Chincoteague Elementary,              30
2019-2020,1,Accomack County ,580,Chincoteague High,              39
2019-2020,1,Accomack County ,600,Kegotank Elementary,             115
2019-2020,1,Accomack County ,702,Metompkin Elementary,              75
2019-2020,1,Accomack County ,70,Nandua High,             107
2019-2020,1,Accomack County ,703,Nandua Middle,              76
2019-2020,1,Accomack County ,590,Pungoteague Elementary,              76
2019-2020,1,Accomack County ,530,Tangier Combined,<
2019-2020,2,Albemarle County ,160,Agnor-Hurt Elementary,              73
2019-2020,2,Albemarle County ,1060,Albemarle County Community Public Charter,<
2019-2020,2,Albemarle County ,880,Albemarle High,             254
2019-2020,2,Albemarle County ,1053,Baker-Butler Elem,              93
2019-2020,2,Albemarle County ,100,Broadus Wood Elementary,              42
2019-2020,2,Albemarle County ,941,Brownsville Elementary,              87
2019-2020,2,Albemarle County ,340,Crozet Elementary,              33
2019-2020,2,Albemarle County ,10,Hollymead Elementary,              65
2019-2020,2,Albemarle County ,950,Jack Jouett Middle,              75
2019-2020,2,Albemarle County ,69,Jackson P. Burley Middle,              92
2019-2020,2,Albemarle County ,942,Joseph T. Henley Middle,              96
2019-2020,2,Albemarle County ,20,Leslie H. Walton Middle,              58
2019-2020,2,Albemarle County ,40,Mary Carr Greer Elementary,              87
2019-2020,2,Albemarle County ,250,Meriwether Lewis Elementary,              45
2019-2020,2,Albemarle County ,1052,Monticello High,             185
2019-2020,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,              68
2019-2020,2,Albemarle County ,890,Murray High,              28
2019-2020,2,Albemarle County ,150,Paul H. Cale Elementary,             134
2019-2020,2,Albemarle County ,540,Red Hill Elementary,              43
2019-2020,2,Albemarle County ,30,Scottsville Elementary,              35
2019-2020,2,Albemarle County ,920,Stone Robinson Elementary,              82
2019-2020,2,Albemarle County ,240,Stony Point Elementary,              27
2019-2020,2,Albemarle County ,910,Virginia L. Murray Elementary,              26
2019-2020,2,Albemarle County ,140,Western Albemarle High,             144
2019-2020,2,Albemarle County ,930,Woodbrook Elementary,              74
2019-2020,101,Alexandria City ,1590,Canterbury Woods Elementary,<
2019-2020,101,Alexandria City ,120,Charles Barrett Elementary,             102
2019-2020,101,Alexandria City ,160,Cora Kelly Magnet Elementary,              60
2019-2020,101,Alexandria City ,110,Douglas Macarthur Elementary,              72
2019-2020,101,Alexandria City ,360,Early Childhood Center,              65
2019-2020,101,Alexandria City ,350,Ferdinand T. Day Elementary,              37
2019-2020,101,Alexandria City ,140,Francis C. Hammond Middle,             139
2019-2020,101,Alexandria City ,490,Freedom Hill Elementary,<
2019-2020,101,Alexandria City ,100,George Mason Elementary,              38
2019-2020,101,Alexandria City ,130,George Washington Middle,             193
2019-2020,101,Alexandria City ,220,James K. Polk Elementary,              87
2019-2020,101,Alexandria City ,90,Jefferson-Houston Elementary,             118
2019-2020,101,Alexandria City ,230,John Adams Elementary,              91
2019-2020,101,Alexandria City ,80,Lyles-Crouch Elementary,              50
2019-2020,101,Alexandria City ,60,Maury Elementary,              54
2019-2020,101,Alexandria City ,30,Mount Vernon Elementary,              79
2019-2020,101,Alexandria City ,50,Patrick Henry Elementary,              83
2019-2020,101,Alexandria City ,333,Samuel W. Tucker Elementary,              84
2019-2020,101,Alexandria City ,210,T.C. Williams High,             432
2019-2020,101,Alexandria City ,190,William Ramsay Elementary,              66
2019-2020,3,Alleghany County ,310,Alleghany High,              80
2019-2020,3,Alleghany County ,110,Callaghan Elementary,              28
2019-2020,3,Alleghany County ,1040,Clifton Middle,              69
2019-2020,3,Alleghany County ,1041,Mountain View Elementary,              91
2019-2020,3,Alleghany County ,90,Sharon Elementary,              36
2019-2020,4,Amelia County ,220,Amelia County Elementary,              92
2019-2020,4,Amelia County ,10,Amelia County High,              72
2019-2020,4,Amelia County ,210,Amelia County Middle,              63
2019-2020,4,Amelia County ,290,George Mason Elementary,<
2019-2020,5,Amherst County ,780,Amelon Elementary,              64
2019-2020,5,Amherst County ,750,Amherst County High,             161
2019-2020,5,Amherst County ,790,Amherst Elementary,              36
2019-2020,5,Amherst County ,670,Amherst Middle,              58
2019-2020,5,Amherst County ,770,Central Elementary,              78
