url,category,description,source,dataset_title,format
https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_1819_w_0a_04082019_csv.zip,enrollment,"NCES CCD Public School Universe (national CSV zip; filter ST=15 HI, ST=51 VA)",,,
https://nces.ed.gov/ccd/data/zip/st991bxls.zip,enrollment,NCES CCD State Nonfiscal Survey (national; state-level enrollment/staff),,,
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Offenses/Offenses.xlsx,discipline,CRDC: 2017-18 Arrests Civil Rights Data Collection — Offenses,CRDC,2017-18 Arrests Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Arrests/School-Related-Arrest/School-Related-Arrest_by-no-disability.xlsx,discipline,CRDC: 2017-18 Arrests Civil Rights Data Collection — School-Related Arrests without disability,CRDC,2017-18 Arrests Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Arrests/School-Related-Arrest/School-Related-Arrest_by-disability-and-no.xlsx,discipline,CRDC: 2017-18 Arrests Civil Rights Data Collection — School-Related Arrests with and without disability,CRDC,2017-18 Arrests Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Arrests/School-Related-Arrest/School-Related-Arrest_by-disability.xlsx,discipline,CRDC: 2017-18 Arrests Civil Rights Data Collection — School-Related Arrests by disability,CRDC,2017-18 Arrests Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Arrests/Referred-to-Law-Enforcement/Referred-to-Law-Enforcement_by-no-disability.xlsx,discipline,CRDC: 2017-18 Arrests Civil Rights Data Collection — Referred to Law Enforcement without disability,CRDC,2017-18 Arrests Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Arrests/Referred-to-Law-Enforcement/Referred-to-Law-Enforcement_by-disability-and-no.xlsx,discipline,CRDC: 2017-18 Arrests Civil Rights Data Collection — Referred to Law Enforcement with and without disability,CRDC,2017-18 Arrests Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Arrests/Referred-to-Law-Enforcement/Referred-to-Law-Enforcement_by-disability.xlsx,discipline,CRDC: 2017-18 Arrests Civil Rights Data Collection — Referred to Law Enforcement by disability,CRDC,2017-18 Arrests Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Discipline/Discipline/Days-missed-due-to-OoS-Suspensions.xlsx,discipline,CRDC: 2017-18 Discipline Civil Rights Data Collection — Days missed due to out-of-school suspensions,CRDC,2017-18 Discipline Civil Rights Data Collection,XLSX
