source,year_hint,category,dataset_title,format,url,description
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Preschool-Discipline.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Incidents of Preschool Corporal Punishment and Suspension
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Preschool-Expulsions.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Preschool Expulsions
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Preschool-One-or-More-out-of-school-suspensions.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Preschool One or More Out-of-School Suspension
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Preschool-More-than-one-out-of-school-suspension.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Preschool More Than One Out-of-School Suspension
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Preschool-One-out-of-school-suspension.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Preschool One Out-of-School Suspension
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Preschool-Corporal-Punishment.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Preschool Corporal Punishment
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Days-missed-due-to-out-of-school-suspensions.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Days Missed Due to Out-of-School Suspensions
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Transferred-to-alternative-school.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Transfers to Alternative Schools
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Referral-to-law-enforcement.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Referrals to Law Enforcement
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Expulsions-with-and-without-educational-services.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Expulsions with and without Educational Services
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Expulsions-with-educational-services.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Expulsions with Educational Services
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/More-than-one-out-of-school-suspension.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — More Than One Out-of-School Suspension
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/In-school-suspensions.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — In-school Suspension
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/School-related-arrests.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — School-related Arrests
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Expulsions-due-to-zero-tolerance-policies.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Expulsions Under Zero Tolerance Policies
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Expulsions-without-educational-services.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Expulsions without Educational Services
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/One-or-more-out-of-school-suspensions.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — One or More Out-of-School Suspensions
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/One-out-of-school-suspension.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — One Out-of-School Suspension
CRDC,2015-16,discipline,2015-16 Discipline Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Corporal-Punishment.xlsx,CRDC: 2015-16 Discipline Civil Rights Data Collection — Corporal Punishment
CRDC,2015-16,test_scores,2015-16 Advanced Placement Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Advanced-Placement-Other-Subjects-Enrollment.xlsx,CRDC: 2015-16 Advanced Placement Civil Rights Data Collection — AP other subjects
CRDC,2015-16,test_scores,2015-16 Advanced Placement Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Advanced-Placement-Science-Enrollment.xlsx,CRDC: 2015-16 Advanced Placement Civil Rights Data Collection — AP Science
CRDC,2015-16,test_scores,2015-16 Advanced Placement Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Advanced-Placement-Mathematics-Enrollment.xlsx,CRDC: 2015-16 Advanced Placement Civil Rights Data Collection — AP Mathematics
CRDC,2015-16,test_scores,2015-16 Advanced Placement Civil Rights Data Collection,XLSX,https://civilrightsdata.ed.gov/assets/downloads/2015-2016/Advanced-Placement-Enrollment.xlsx,CRDC: 2015-16 Advanced Placement Civil Rights Data Collection — Advanced Placement Total Enrollment
CRDC,2015-16,other,Civil Rights Data Collection State Files 2015-16,XLS,https://data.ed.gov/dataset/1aaf0125-13d8-4237-87d1-3c137bb89eec/resource/81582205-c14e-4faf-ba19-4adb75bb96d1/download/crdc-2015-16-codebook.xls,CRDC: Civil Rights Data Collection State Files 2015-16 — Code Book
CRDC,2015-16,other,Civil Rights Data Collection State Files 2015-16,CSV,https://data.ed.gov/dataset/1aaf0125-13d8-4237-87d1-3c137bb89eec/resource/cec48bcf-8a11-4373-87f6-07b0e0753c89/download/crdc-2015-16-al-aug-2018.csv,CRDC: Civil Rights Data Collection State Files 2015-16 — Alabama - File as of August 2018
CRDC,2015-16,other,Civil Rights Data Collection State Files 2015-16,CSV,https://data.ed.gov/dataset/1aaf0125-13d8-4237-87d1-3c137bb89eec/resource/f5f7d35e-1aa5-4663-97d0-fea2d6b3a516/download/crdc2015-16-al-oct-2018.csv,CRDC: Civil Rights Data Collection State Files 2015-16 — Alabama - File as of October 2018
CRDC,2015-16,other,Civil Rights Data Collection State Files 2015-16,CSV,https://data.ed.gov/dataset/1aaf0125-13d8-4237-87d1-3c137bb89eec/resource/ba6cadcc-5d5d-49ed-a031-a50406291723/download/crdc-2015-16-ak-aug-2018.csv,CRDC: Civil Rights Data Collection State Files 2015-16 — Alaska - File as of August 2018
CRDC,2015-16,other,Civil Rights Data Collection State Files 2015-16,CSV,https://data.ed.gov/dataset/1aaf0125-13d8-4237-87d1-3c137bb89eec/resource/1e862688-51ed-4f95-b124-6820b6804f49/download/crdc2015-16-ak-oct-2018.csv,CRDC: Civil Rights Data Collection State Files 2015-16 — Alaska - File as of October 2018
CRDC,2015-16,other,Civil Rights Data Collection State Files 2015-16,CSV,https://data.ed.gov/dataset/1aaf0125-13d8-4237-87d1-3c137bb89eec/resource/f2be7b0b-0385-4d22-b431-33cbb3d77c32/download/crdc-2015-16-az-aug-2018.csv,CRDC: Civil Rights Data Collection State Files 2015-16 — Arizona - File as of August 2018
CRDC,2015-16,other,Civil Rights Data Collection State Files 2015-16,CSV,https://data.ed.gov/dataset/1aaf0125-13d8-4237-87d1-3c137bb89eec/resource/6d79e38e-ebea-42b6-bef4-d5af4e195ff7/download/crdc2015-16-az-oct-2018.csv,CRDC: Civil Rights Data Collection State Files 2015-16 — Arizona - File as of October 2018
