state,category,link_text,url,source_page,description
hawaii,enrollment,Enrollment Data (2025-26) (Excel),https://hawaiipublicschools.org/wp-content/uploads/HIDOEenrollment_2025-26.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2025-26) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,enrollment,Enrollment Data (2024-25) (Excel),https://hawaiipublicschools.org/wp-content/uploads/HIDOEenrollment_2024-25.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2024-25) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,enrollment,Enrollment Data (2023-24) (Excel),https://hawaiipublicschools.org/DOE%20Forms/Enrollment/DOEenrollment2023-24.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2023-24) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,enrollment,Enrollment Data (2022-23) (Excel),https://hawaiipublicschools.org/DOE%20Forms/Enrollment/DOEenrollment2022-23.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2022-23) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,enrollment,Enrollment Data (2021-22) (Excel),https://hawaiipublicschools.org/DOE%20Forms/Enrollment/DOEenrollment2021-22.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2021-22) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,enrollment,Enrollment Data (2020-21) (Excel),https://hawaiipublicschools.org/DOE%20Forms/Enrollment/DOEenrollment2020-21.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2020-21) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,enrollment,Enrollment Data (2019-20) (Excel),https://hawaiipublicschools.org/DOE%20Forms/Enrollment/DOEenrollment2019-20.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2019-20) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,enrollment,Enrollment Data (2018-19) (Excel),https://hawaiipublicschools.org/DOE%20Forms/Enrollment/DOEenrollment2018-19.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2018-19) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,enrollment,Enrollment Data (2017-18) (Excel),https://hawaiipublicschools.org/DOE%20Forms/Enrollment/DOEenrollment2017-18.xlsx,https://hawaiipublicschools.org/data-reports/school-reports/,Enrollment Data (2017-18) (Excel) (from https://hawaiipublicschools.org/data-reports/school-reports/)
hawaii,other,"Title I Schools in Hawaiʻi, SY 2026-27",https://hawaiipublicschools.org/wp-content/uploads/TitleI-2026-27.pdf,https://hawaiipublicschools.org/data-reports/school-reports/,"Title I Schools in Hawaiʻi, SY 2026-27 (from https://hawaiipublicschools.org/data-reports/school-reports/)"
hawaii,other,"Title I Schools in Hawaiʻi, SY 2025-26",https://hawaiipublicschools.org/wp-content/uploads/TitleI-2025-26-revised-122025.pdf,https://hawaiipublicschools.org/data-reports/school-reports/,"Title I Schools in Hawaiʻi, SY 2025-26 (from https://hawaiipublicschools.org/data-reports/school-reports/)"
hawaii,other,"Title I Schools in Hawaiʻi, SY 2024-25",https://hawaiipublicschools.org/DOE%20Forms/TitleI2425.pdf,https://hawaiipublicschools.org/data-reports/school-reports/,"Title I Schools in Hawaiʻi, SY 2024-25 (from https://hawaiipublicschools.org/data-reports/school-reports/)"
