state,source,dataset_id,dataset_title,description,category,url,dest_filename,format
texas,ArcGIS,a015ac7bc44c4d738df9b6ecb4c845f2,All programs of study Polygons 2,Texas TEA ArcGIS open data: All programs of study Polygons 2,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/a015ac7bc44c4d738df9b6ecb4c845f2,,CSV Collection
texas,ArcGIS,9b0984f830bf4808852103121b15dd55,CTE ESC Regions,Texas TEA ArcGIS open data: CTE ESC Regions,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/9b0984f830bf4808852103121b15dd55,,CSV
texas,ArcGIS,87c957f2ec334c83bc2b952bf6e64344,DistCounty,Texas TEA ArcGIS open data: DistCounty,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/87c957f2ec334c83bc2b952bf6e64344,,CSV
texas,ArcGIS,aa8baba0a0bd444a9b620e84a6d796cf,AllPOS_5S4Campus,Texas TEA ArcGIS open data: AllPOS_5S4Campus,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/aa8baba0a0bd444a9b620e84a6d796cf,,CSV
texas,ArcGIS,762dc5ff24554ea49cebb6bce21c0298,AdjacentDistrict,Texas TEA ArcGIS open data: AdjacentDistrict,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/762dc5ff24554ea49cebb6bce21c0298,,CSV
texas,ArcGIS,5a98daef9e434fd889544db64c7ee78e,School2012,Texas TEA ArcGIS open data: School2012,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/5a98daef9e434fd889544db64c7ee78e,,Shapefile
texas,ArcGIS,354d55c936f94957be3218bbae9fbeb7,AllPOS_5S420_21_District,Texas TEA ArcGIS open data: AllPOS_5S420_21_District,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/354d55c936f94957be3218bbae9fbeb7,,CSV
texas,ArcGIS,85092ce228df4307be9e04c03f26e2fb,CTE AllPOS_5S420_21_District,Texas TEA ArcGIS open data: CTE AllPOS_5S420_21_District,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/85092ce228df4307be9e04c03f26e2fb,,CSV
texas,ArcGIS,6d2419b050e64ca3b79a363632b1ebfd,CountyDist,Texas TEA ArcGIS open data: CountyDist,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/6d2419b050e64ca3b79a363632b1ebfd,,CSV
texas,ArcGIS,47a8009b308c4d5fa54ebf03dd9e1d3d,SD_Approx_Area,Texas TEA ArcGIS open data: SD_Approx_Area,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/47a8009b308c4d5fa54ebf03dd9e1d3d,,CSV
texas,ArcGIS,4447f56df14345aaac02fc2c69395de3,School2013,Texas TEA ArcGIS open data: School2013,other,https://schoolsdata2-tea-texas.opendata.arcgis.com/datasets/4447f56df14345aaac02fc2c69395de3,,Shapefile
