state,category,dataset_title,resource_name,format,url,description
virginia,other,Local and Regional Schools and Centers 2021 - 2022,2021-22-local-and-regional-schools,XLSX,https://data.virginia.gov/dataset/89a641ec-9df2-4e40-bf49-160a9b7d3cee/resource/570a9ea5-5397-4c46-ae91-c0fe588a4925/download/2021-22-local-and-regional-schools-3-1.xlsx,Local and Regional Schools and Centers 2021 - 2022 — 2021-22-local-and-regional-schools
virginia,test_scores,Cohort Graduation and Dropout Report 2020,Cohort Graduation and Dropout Rate 2020,CSV,https://data.virginia.gov/dataset/c13dbcbb-92fd-4335-9f41-9d6f41b084eb/resource/19b88afb-e16d-450d-80fe-9dd11fa87f0d/download/cohort_statistics-7.csv,Cohort Graduation and Dropout Report 2020 — Cohort Graduation and Dropout Rate 2020
virginia,enrollment,2003-2004 Fall Membership School Totals by Grade,2003-2004 Fall Membership School Totals by Grade ,XLSX,https://data.virginia.gov/dataset/21daa5fe-7300-4ab6-a063-b40d1713a9b3/resource/fa15b15e-79f6-4df8-b327-888f9d73a10b/download/03-stg.xls,2003-2004 Fall Membership School Totals by Grade — 2003-2004 Fall Membership School Totals by Grade 
virginia,other,Home Schooled Students & Religious Exemptions 2015-16,Home Schooled Students & Religious Exemptions 2015-16,XLS,https://data.virginia.gov/dataset/320b9209-3a70-4e9c-afe5-79c22c971697/resource/23038d5c-08f2-42bb-adb3-9f930861a46c/download/2015_2016.xlsx,Home Schooled Students & Religious Exemptions 2015-16 — Home Schooled Students & Religious Exemptions 2015-16
virginia,other,Graduates & Completers - Graduates by Continuing Education Plans 2019 - 2020,2019-2020-division-totals-continuing-ed,XLS,https://data.virginia.gov/dataset/c1f08fe5-62bd-496c-b888-523c0694b1d7/resource/6b478b04-9708-40ac-a533-15ba4a80a096/download/2019-2020-division-totals-continuing-ed-1.xls,Graduates & Completers - Graduates by Continuing Education Plans 2019 - 2020 — 2019-2020-division-totals-continuing-ed
virginia,other,2002-2003 Gifted Education Annual Total Report,2003Gifted Education Annual Total Report,PDF,https://data.virginia.gov/dataset/8e0e3df2-0009-45cf-a022-8a925ef64843/resource/632c3d98-be30-4c0f-b5c5-787fae8d3d06/download/2003_gifted.pdf,2002-2003 Gifted Education Annual Total Report — 2003Gifted Education Annual Total Report
virginia,enrollment,"Administrative, Service and Support Personnel Positions by Function - Fiscal Year 2021",Fiscal Year 2021,XLSX,https://data.virginia.gov/dataset/311ecec4-029e-4d46-9cbf-f4d7593fcf72/resource/723e6739-ebb2-45b3-9590-4925fd7ecdff/download/table-18-fy21.xlsx,"Administrative, Service and Support Personnel Positions by Function - Fiscal Year 2021 — Fiscal Year 2021"
virginia,enrollment,2000-2001 Fall Membership School Totals by Grade,2000-2001 Fall Membership School Totals by Grade,XLSX,https://data.virginia.gov/dataset/c08429df-b628-4486-8415-057fd1d028b6/resource/313da14a-b613-4b1d-8a05-31a05839176d/download/2000-2001-fall-membership-school-totals-by-grade.xlsx,2000-2001 Fall Membership School Totals by Grade — 2000-2001 Fall Membership School Totals by Grade
virginia,enrollment,2000-2001 Gifted Annual Report by Membership,2000-2001 Gifted Annual Report by Membership,PDF,https://data.virginia.gov/dataset/8dbf75de-cf6a-4ef2-b604-4e3e30100583/resource/f9d29454-3b37-4fdb-9b93-9a7f46e01f0c/download/2001_gifted_membership.pdf,2000-2001 Gifted Annual Report by Membership — 2000-2001 Gifted Annual Report by Membership
virginia,other,Local and Regional Schools and Centers 2023 - 2024,2023-24 Local and Regional Schools,XLSX,https://data.virginia.gov/dataset/137bf667-69eb-40e6-afc7-c3885d24dd7b/resource/4054e1a3-8439-4b41-81fd-95969811cc2a/download/2023-24-local-and-regional-schools.xlsx,Local and Regional Schools and Centers 2023 - 2024 — 2023-24 Local and Regional Schools
virginia,other,Home Schooled Students & Religious Exemptions 2020 - 2021,2020-2021-homeschooled-religious-exempt,XLSX,https://data.virginia.gov/dataset/781d99db-9aa4-4f81-9fe0-a46fad7a5183/resource/de281d63-ae9e-4427-a050-06f477330b3b/download/2020-2021-homeschooled-religious-exempt.xlsx,Home Schooled Students & Religious Exemptions 2020 - 2021 — 2020-2021-homeschooled-religious-exempt
virginia,enrollment,Gifted Programs 2020 - 2021,Gifted Programs 2020 - 2021,PDF,https://data.virginia.gov/dataset/1c5b514f-7df6-4976-a3cc-34b1dd532828/resource/ecc7c002-b57a-4b3c-9610-a4bfb8ab8672/download/20202021annualreport.pdf,Gifted Programs 2020 - 2021 — Gifted Programs 2020 - 2021
virginia,enrollment,2004-2005 Fall Membership School Totals by Grade,2004-2005 Fall Membership School Totals by Grade,XLSX,https://data.virginia.gov/dataset/00e82ed5-703a-4c95-b392-f8c2c3e51b22/resource/5b721679-7f90-440f-8172-2882bc87452b/download/04-school-totals-by-grade.xls,2004-2005 Fall Membership School Totals by Grade — 2004-2005 Fall Membership School Totals by Grade
virginia,other,Local and Regional Schools and Centers 2020 - 2021,2020-21-local-and-regional-schools,XLSX,https://data.virginia.gov/dataset/0eff83da-badd-445e-8680-44c38b22e709/resource/f1f66818-b9cf-4004-aa29-d2f7d89259ad/download/2020-21-local-and-regional-schools-3.xlsx,Local and Regional Schools and Centers 2020 - 2021 — 2020-21-local-and-regional-schools
virginia,discipline,Dropout Information 2021 - 2022,Dropout information 2021 - 2022,XLSX,https://data.virginia.gov/dataset/846a03f0-5593-4db6-872d-d940347ff9d3/resource/1cb6784c-05f6-4d91-8ff3-38d785d7bc89/download/2021-22-table-6.xlsx,Dropout Information 2021 - 2022 — Dropout information 2021 - 2022
virginia,test_scores,Division Subject-Area 2019-2022,division-by-subject-2019-2022,CSV,https://data.virginia.gov/dataset/885580a6-3ac2-4f91-872b-69bca9ba2fbd/resource/b4238f68-988f-474e-a838-6ee9c2a21fc8/download/division-by-subject-2022.xlsx,Division Subject-Area 2019-2022 — division-by-subject-2019-2022
virginia,enrollment,2002-2003 Fall Membership School Totals by Grade,Fall Membership 2002-2003 School Totals by Grade,XLSX,https://data.virginia.gov/dataset/d4e6ffec-0355-4ba1-8f01-a5901ff99608/resource/09f44960-7a3b-4a66-a849-a5dae2047afc/download/fm_sch_grade-3.xls,2002-2003 Fall Membership School Totals by Grade — Fall Membership 2002-2003 School Totals by Grade
virginia,other,Home Schooled Students & Religious Exemptions 2013-14,Home Schooled Students & Religious Exemptions 2013-14 ,XLS,https://data.virginia.gov/dataset/ad131df9-6014-44e6-b514-275c4e05436a/resource/6aa3c9ea-e84d-4257-a2db-3a85c64c5a5c/download/2013_2014.xls,Home Schooled Students & Religious Exemptions 2013-14 — Home Schooled Students & Religious Exemptions 2013-14 
virginia,test_scores,Cohort Graduation and Dropout Report 2019,Cohort Graduation and Dropout Rate 2019,CSV,https://data.virginia.gov/dataset/89179d05-0009-4a08-a8bd-4f31ee47ed4a/resource/209a1d06-8d24-47e5-9bea-d64f6e7b6406/download/cohort_statistics-8.csv,Cohort Graduation and Dropout Report 2019 — Cohort Graduation and Dropout Rate 2019
virginia,other,Report of Graduates 2005-06,2005-06 Report of Combined Term High School Graduates by Document Type.,PDF,https://data.virginia.gov/dataset/4578d819-9f24-4d1c-abd4-6c143bfc5e55/resource/ddf63c37-1150-4fb6-8870-4bebb3860fee/download/grad-sch0304.pdf,Report of Graduates 2005-06 — 2005-06 Report of Combined Term High School Graduates by Document Type.
virginia,other,Report of Graduates 2005-06,2005-06 Combined Term High School Graduates by Continuing Education Plan.,PDF,https://data.virginia.gov/dataset/4578d819-9f24-4d1c-abd4-6c143bfc5e55/resource/14c19f35-44e0-46d7-a37b-a33f8f235f44/download/gradp0304.pdf,Report of Graduates 2005-06 — 2005-06 Combined Term High School Graduates by Continuing Education Plan.
virginia,other,Report of Graduates 2005-06,2005-06 Report of Graduate and Completer Totals by School.,PDF,https://data.virginia.gov/dataset/4578d819-9f24-4d1c-abd4-6c143bfc5e55/resource/4d768b48-b6a2-4b04-8c21-0ba7ac78eb1e/download/gradd0304.pdf,Report of Graduates 2005-06 — 2005-06 Report of Graduate and Completer Totals by School.
virginia,test_scores,2021-2022 Division Participation Rates,2021 - 2022 Division Participation Rates,XLSX,https://data.virginia.gov/dataset/84a85474-7ac6-409d-bcc0-2224fbaa5eca/resource/024edacd-006f-4d5e-a214-f10ec8977908/download/2021-2022-div-participation-rates.xlsx,2021-2022 Division Participation Rates — 2021 - 2022 Division Participation Rates
virginia,discipline,Annual School Dropouts - Grades 7 -12 - 2019 - 2020,annual_dropout_statistics 2019 - 2020,CSV,https://data.virginia.gov/dataset/4b75e09b-8e17-46db-a530-47b02ab7a007/resource/759391d8-a05b-40f8-87ba-1f64df5b6e94/download/annual_dropout_statistics-4.csv,Annual School Dropouts - Grades 7 -12 - 2019 - 2020 — annual_dropout_statistics 2019 - 2020
